source_id,ra,dec,phot_g_mean_mag,parallax
213275023517310080,79.48340090458643,48.87779065209521,9.669258,7.757561658337681
213384562363934720,80.72893969630161,48.56727937218158,9.647406,0.443646860093543
213685278793359744,81.43767228732375,49.64345696274745,9.64269,0.6698838286564325
213827012714055808,83.15533368023401,50.46324283012053,9.570904,0.9932149168917427
213847869075234048,82.87776969707474,50.69646558971581,9.7410555,2.218259496303172
213914797549847168,82.97055990007325,51.028087410650045,6.9791784,1.4646668912289065
214883918264895744,88.17492388752007,51.68939384143384,9.278908,1.1974062288088594
215001566009134208,88.60314402022598,52.13014979381533,8.647446,2.260100906434172
215233386868147712,86.28241408089171,51.19537677841011,8.099813,1.058596901631908
215811115804460800,89.33332087714693,52.8685036857719,9.18495,10.568249589433341
215844066794488320,88.23135966209739,52.77679657884748,8.278127,4.460103488291997
216172644674830464,89.96489411062885,54.308770482649436,9.955576,3.6308015006307093
224822781827210496,57.36372819364427,40.41383456368211,9.678899,4.335705059010385
225073814076355200,56.200955604871574,40.938673722649845,8.124651,0.3912546064737253
228532602782156288,66.70686180605233,42.90869537535159,7.5266523,14.78362816879885
229165573581637760,65.54622590958374,42.52637134207088,9.972152,1.986859292744475
229526492571272704,64.50496630872574,43.684268052994184,7.7351723,2.4685520664799028
229661320186593152,66.09403443686365,44.626244495169615,9.865681,1.1658070485090155
230210629321492224,58.647564231888154,41.321761569811024,8.183396,3.2600984664568324
230648922144294656,59.99441457160765,42.29098939866537,9.149003,9.307714187994728
230776362415660160,60.77220198510275,42.77871678510632,8.229881,0.9517921161940607
231113740685855616,56.76446366591412,41.42279214714805,8.451743,41.4987896504494
231304402874587392,57.549713329010416,42.350849137570755,8.866949,2.7248933654631724
231548872414065408,60.51157804993729,43.090507397413035,8.6600685,1.2443014777851122
231756095994494976,58.43953584954793,43.63031157855935,9.232648,9.884490349673134
231860034204226432,60.24396683125131,44.43138645542347,8.320199,3.025125570232082
231910611738547840,60.00055022148164,44.545402322087924,9.823059,6.54951724278089
232039048444118144,61.85746893697513,42.8596156248381,8.7872505,6.751168960035198
232255411718139264,62.00806404075075,43.178809481080975,6.696336,6.903483170094304
232354711361349632,61.75871305063732,44.01232870438337,9.733817,0.7489064851264352
232391854235627264,62.65444138862914,44.09910051119044,8.547206,5.027135893697668
232413294712200320,63.06580065441671,44.20744865091745,9.836184,1.020196670698634
232526819286203904,64.10003248358113,43.96682007386843,9.420554,0.7471808050180689
232637595083231488,64.53394258278266,44.8870198778948,9.839242,0.6072375793517124
233045303438098816,64.73305931147755,46.108311847994315,9.589454,1.828997618542911
233523938898073856,62.022460923616315,45.58892411464466,8.478826,
233865577772795136,64.18756624413491,46.77809776805445,7.7701306,2.2213295447146675
233900762144674816,64.75343421710055,47.178240146233215,9.666506,0.4055720780000747
234950417788547584,52.937542618069436,38.73358353591709,9.723899,1.8523632804653114
234980516919469568,52.21843995072463,38.61947638045018,9.595819,0.6465723625499413
235306831354508416,52.087158292835355,39.98632222083354,8.033478,1.2220896651931192
235398468777101824,48.99578840206735,37.97135135547846,9.695205,4.4000893260388265
235445919575390720,49.23473880136929,38.3903206153955,9.811823,3.480963846574959
235718598459352064,48.35176325694498,38.96769952275103,8.451968,4.881954246937664
235724886291425280,48.397428989976575,39.14465020563935,8.654913,7.325937288029566
235726466840043264,48.34417891816574,39.249454749654895,9.817166,1.428313108320837
235963720833234304,50.424625215905905,39.589404052819624,8.403347,1.4377505189722857
236953075142985216,52.98813300426946,41.03209790733523,9.604304,6.5768838524470095
236962352272309248,53.00114095954114,41.12231786246923,9.996179,1.3773952583911322
237401469727985920,54.43413687259843,42.21791464693557,9.76202,4.820606532902044
